Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Color
j853,j,Abscess of mediastinum,Diseases of the respiratory system,26,33,22,darkorchid1
j954,j,Chemical pneumonitis due to anesthesia,Diseases of the respiratory system,11,12,,darkorchid1
j9601,j,Acute respiratory failure with hypoxia,Diseases of the respiratory system,24494,33592,43266,darkorchid1
j9611,j,Chronic respiratory failure with hypoxia,Diseases of the respiratory system,3236,3096,3084,darkorchid1
j9621,j,Acute and chronic respiratory failure with hypoxia,Diseases of the respiratory system,9129,10443,8905,darkorchid1
j9622,j,Acute and chronic respiratory failure with hypercapnia,Diseases of the respiratory system,2727,3012,2300,darkorchid1
j9851,j,Mediastinitis,Diseases of the respiratory system,45,71,63,darkorchid1
k029,k,"Dental caries, unspecified",Diseases of the digestive system,630,576,453,grey
k047,k,Periapical abscess without sinus,Diseases of the digestive system,743,690,639,grey
k122,k,Cellulitis and abscess of mouth,Diseases of the digestive system,246,213,217,grey
k219,k,Gastro-esophageal reflux disease without esophagitis,Diseases of the digestive system,52420,45832,46833,grey
k223,k,Perforation of esophagus,Diseases of the digestive system,69,95,79,grey
k311,k,Adult hypertrophic pyloric stenosis,Diseases of the digestive system,327,341,356,grey
k315,k,Obstruction of duodenum,Diseases of the digestive system,227,208,262,grey
k3184,k,Gastroparesis,Diseases of the digestive system,2597,2393,2302,grey
k3189,k,Other diseases of stomach and duodenum,Diseases of the digestive system,1688,1563,1920,grey
k50013,k,Crohn's disease of small intestine with fistula,Diseases of the digestive system,13,12,21,grey
k50014,k,Crohn's disease of small intestine with abscess,Diseases of the digestive system,,13,11,grey
k50113,k,Crohn's disease of large intestine with fistula,Diseases of the digestive system,15,19,12,grey
k50114,k,Crohn's disease of large intestine with abscess,Diseases of the digestive system,11,18,11,grey
k50913,k,"Crohn's disease, unspecified, with fistula",Diseases of the digestive system,30,26,22,grey
k50914,k,"Crohn's disease, unspecified, with abscess",Diseases of the digestive system,13,13,15,grey
k521,k,Toxic gastroenteritis and colitis,Diseases of the digestive system,706,611,596,grey
k5901,k,Slow transit constipation,Diseases of the digestive system,210,204,202,grey
k5903,k,Drug induced constipation,Diseases of the digestive system,1652,1438,1475,grey
k592,k,"Neurogenic bowel, not elsewhere classified",Diseases of the digestive system,485,455,458,grey
k644,k,Residual hemorrhoidal skin tags,Diseases of the digestive system,696,653,675,grey
k648,k,Other hemorrhoids,Diseases of the digestive system,1572,1310,1378,grey
k6812,k,Psoas muscle abscess,Diseases of the digestive system,159,230,192,grey
k7031,k,Alcoholic cirrhosis of liver with ascites,Diseases of the digestive system,1900,1873,2288,grey
k7290,k,"Hepatic failure, unspecified without coma",Diseases of the digestive system,2315,2269,2392,grey
k745,k,"Biliary cirrhosis, unspecified",Diseases of the digestive system,26,21,17,grey
k7460,k,Unspecified cirrhosis of liver,Diseases of the digestive system,4574,4435,4600,grey
k766,k,Portal hypertension,Diseases of the digestive system,3905,3544,4173,grey
k767,k,Hepatorenal syndrome,Diseases of the digestive system,607,682,883,grey
k831,k,Obstruction of bile duct,Diseases of the digestive system,1481,1441,1497,grey
l0201,l,Cutaneous abscess of face,Diseases of the skin and subcutaneous tissue,316,234,238,grey
l0211,l,Cutaneous abscess of neck,Diseases of the skin and subcutaneous tissue,277,273,254,grey
l02211,l,Cutaneous abscess of abdominal wall,Diseases of the skin and subcutaneous tissue,734,590,600,grey
l02212,l,"Cutaneous abscess of back [any part, except buttock]",Diseases of the skin and subcutaneous tissue,188,158,181,grey
l02214,l,Cutaneous abscess of groin,Diseases of the skin and subcutaneous tissue,286,259,285,grey
l02215,l,Cutaneous abscess of perineum,Diseases of the skin and subcutaneous tissue,214,147,165,grey
l0231,l,Cutaneous abscess of buttock,Diseases of the skin and subcutaneous tissue,563,465,490,grey
l02411,l,Cutaneous abscess of right axilla,Diseases of the skin and subcutaneous tissue,74,46,58,grey
l02412,l,Cutaneous abscess of left axilla,Diseases of the skin and subcutaneous tissue,78,46,61,grey
l02414,l,Cutaneous abscess of left upper limb,Diseases of the skin and subcutaneous tissue,546,415,366,grey
l02511,l,Cutaneous abscess of right hand,Diseases of the skin and subcutaneous tissue,319,345,280,grey
l02512,l,Cutaneous abscess of left hand,Diseases of the skin and subcutaneous tissue,238,227,207,grey
l02811,l,"Cutaneous abscess of head [any part, except face]",Diseases of the skin and subcutaneous tissue,82,69,72,grey
l03011,l,Cellulitis of right finger,Diseases of the skin and subcutaneous tissue,328,282,258,grey
l03012,l,Cellulitis of left finger,Diseases of the skin and subcutaneous tissue,218,227,200,grey
l03111,l,Cellulitis of right axilla,Diseases of the skin and subcutaneous tissue,31,30,37,grey
l03112,l,Cellulitis of left axilla,Diseases of the skin and subcutaneous tissue,58,31,36,grey
l03114,l,Cellulitis of left upper limb,Diseases of the skin and subcutaneous tissue,1416,1108,1082,grey
l03115,l,Cellulitis of right lower limb,Diseases of the skin and subcutaneous tissue,6346,5833,5722,grey
l03116,l,Cellulitis of left lower limb,Diseases of the skin and subcutaneous tissue,6338,5778,5466,grey
l03211,l,Cellulitis of face,Diseases of the skin and subcutaneous tissue,804,664,586,grey
l03221,l,Cellulitis of neck,Diseases of the skin and subcutaneous tissue,251,234,223,grey
l03311,l,Cellulitis of abdominal wall,Diseases of the skin and subcutaneous tissue,1076,866,891,grey
l03312,l,Cellulitis of back [any part except buttock],Diseases of the skin and subcutaneous tissue,171,139,170,grey
l03314,l,Cellulitis of groin,Diseases of the skin and subcutaneous tissue,251,202,215,grey
l03315,l,Cellulitis of perineum,Diseases of the skin and subcutaneous tissue,115,92,101,grey
l03317,l,Cellulitis of buttock,Diseases of the skin and subcutaneous tissue,403,346,357,grey
l03811,l,"Cellulitis of head [any part, except face]",Diseases of the skin and subcutaneous tissue,75,56,66,grey
l89154,l,"Pressure ulcer of sacral region, stage 4",Diseases of the skin and subcutaneous tissue,718,666,864,grey
l89210,l,"Pressure ulcer of right hip, unstageable",Diseases of the skin and subcutaneous tissue,42,23,31,grey
l89214,l,"Pressure ulcer of right hip, stage 4",Diseases of the skin and subcutaneous tissue,54,63,56,grey
l89216,l,Pressure-induced deep tissue damage of right hip,Diseases of the skin and subcutaneous tissue,13,16,16,grey
l89220,l,"Pressure ulcer of left hip, unstageable",Diseases of the skin and subcutaneous tissue,22,26,29,grey
l89224,l,"Pressure ulcer of left hip, stage 4",Diseases of the skin and subcutaneous tissue,68,64,73,grey
l89226,l,Pressure-induced deep tissue damage of left hip,Diseases of the skin and subcutaneous tissue,,18,25,grey
l89310,l,"Pressure ulcer of right buttock, unstageable",Diseases of the skin and subcutaneous tissue,96,84,84,grey
l89311,l,"Pressure ulcer of right buttock, stage 1",Diseases of the skin and subcutaneous tissue,83,66,71,grey
l89312,l,"Pressure ulcer of right buttock, stage 2",Diseases of the skin and subcutaneous tissue,243,236,230,grey
l89313,l,"Pressure ulcer of right buttock, stage 3",Diseases of the skin and subcutaneous tissue,178,188,212,grey
l89314,l,"Pressure ulcer of right buttock, stage 4",Diseases of the skin and subcutaneous tissue,141,132,138,grey
l89316,l,Pressure-induced deep tissue damage of right buttock,Diseases of the skin and subcutaneous tissue,18,85,91,grey
l89319,l,"Pressure ulcer of right buttock, unspecified stage",Diseases of the skin and subcutaneous tissue,115,98,92,grey
l89320,l,"Pressure ulcer of left buttock, unstageable",Diseases of the skin and subcutaneous tissue,98,74,83,grey
l89321,l,"Pressure ulcer of left buttock, stage 1",Diseases of the skin and subcutaneous tissue,68,67,68,grey
l89322,l,"Pressure ulcer of left buttock, stage 2",Diseases of the skin and subcutaneous tissue,254,265,233,grey
l89323,l,"Pressure ulcer of left buttock, stage 3",Diseases of the skin and subcutaneous tissue,170,185,208,grey
l89324,l,"Pressure ulcer of left buttock, stage 4",Diseases of the skin and subcutaneous tissue,139,118,154,grey
l89326,l,Pressure-induced deep tissue damage of left buttock,Diseases of the skin and subcutaneous tissue,18,87,100,grey
l89329,l,"Pressure ulcer of left buttock, unspecified stage",Diseases of the skin and subcutaneous tissue,125,99,109,grey
l89510,l,"Pressure ulcer of right ankle, unstageable",Diseases of the skin and subcutaneous tissue,21,22,35,grey
l89512,l,"Pressure ulcer of right ankle, stage 2",Diseases of the skin and subcutaneous tissue,10,12,,grey
l89516,l,Pressure-induced deep tissue damage of right ankle,Diseases of the skin and subcutaneous tissue,,13,24,grey
l89519,l,"Pressure ulcer of right ankle, unspecified stage",Diseases of the skin and subcutaneous tissue,31,22,16,grey
l89520,l,"Pressure ulcer of left ankle, unstageable",Diseases of the skin and subcutaneous tissue,25,20,21,grey
l89522,l,"Pressure ulcer of left ankle, stage 2",Diseases of the skin and subcutaneous tissue,12,14,10,grey
l89526,l,Pressure-induced deep tissue damage of left ankle,Diseases of the skin and subcutaneous tissue,,11,25,grey
l89529,l,"Pressure ulcer of left ankle, unspecified stage",Diseases of the skin and subcutaneous tissue,25,19,19,grey
l89610,l,"Pressure ulcer of right heel, unstageable",Diseases of the skin and subcutaneous tissue,177,147,134,grey
l89611,l,"Pressure ulcer of right heel, stage 1",Diseases of the skin and subcutaneous tissue,68,68,87,grey
l89613,l,"Pressure ulcer of right heel, stage 3",Diseases of the skin and subcutaneous tissue,78,71,57,grey
l89614,l,"Pressure ulcer of right heel, stage 4",Diseases of the skin and subcutaneous tissue,30,30,24,grey
l89616,l,Pressure-induced deep tissue damage of right heel,Diseases of the skin and subcutaneous tissue,27,139,184,grey
l89619,l,"Pressure ulcer of right heel, unspecified stage",Diseases of the skin and subcutaneous tissue,128,120,112,grey
l89620,l,"Pressure ulcer of left heel, unstageable",Diseases of the skin and subcutaneous tissue,179,158,146,grey
l89621,l,"Pressure ulcer of left heel, stage 1",Diseases of the skin and subcutaneous tissue,72,76,99,grey
l89623,l,"Pressure ulcer of left heel, stage 3",Diseases of the skin and subcutaneous tissue,79,71,47,grey
l89624,l,"Pressure ulcer of left heel, stage 4",Diseases of the skin and subcutaneous tissue,41,28,19,grey
l89626,l,Pressure-induced deep tissue damage of left heel,Diseases of the skin and subcutaneous tissue,37,143,230,grey
l89629,l,"Pressure ulcer of left heel, unspecified stage",Diseases of the skin and subcutaneous tissue,134,117,105,grey
l910,l,Hypertrophic scar,Diseases of the skin and subcutaneous tissue,90,89,87,grey
l97211,l,Non-pressure chronic ulcer of right calf limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,27,26,17,grey
l97212,l,Non-pressure chronic ulcer of right calf with fat layer exposed,Diseases of the skin and subcutaneous tissue,20,16,,grey
l97218,l,Non-pressure chronic ulcer of right calf with other specified severity,Diseases of the skin and subcutaneous tissue,,11,,grey
l97219,l,Non-pressure chronic ulcer of right calf with unspecified severity,Diseases of the skin and subcutaneous tissue,92,78,78,grey
l97221,l,Non-pressure chronic ulcer of left calf limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,23,21,15,grey
l97222,l,Non-pressure chronic ulcer of left calf with fat layer exposed,Diseases of the skin and subcutaneous tissue,14,25,16,grey
l97228,l,Non-pressure chronic ulcer of left calf with other specified severity,Diseases of the skin and subcutaneous tissue,,11,,grey
l97229,l,Non-pressure chronic ulcer of left calf with unspecified severity,Diseases of the skin and subcutaneous tissue,88,80,72,grey
l97311,l,Non-pressure chronic ulcer of right ankle limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,34,20,23,grey
l97318,l,Non-pressure chronic ulcer of right ankle with other specified severity,Diseases of the skin and subcutaneous tissue,,14,13,grey
l97328,l,Non-pressure chronic ulcer of left ankle with other specified severity,Diseases of the skin and subcutaneous tissue,14,13,11,grey
l97419,l,Non-pressure chronic ulcer of right heel and midfoot with unspecified severity,Diseases of the skin and subcutaneous tissue,319,341,317,grey
l97429,l,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,Diseases of the skin and subcutaneous tissue,344,326,354,grey
l97519,l,Non-pressure chronic ulcer of other part of right foot with unspecified severity,Diseases of the skin and subcutaneous tissue,1792,1569,1622,grey
l97529,l,Non-pressure chronic ulcer of other part of left foot with unspecified severity,Diseases of the skin and subcutaneous tissue,1735,1465,1461,grey
l97811,l,Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,56,37,42,grey
l97812,l,Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed,Diseases of the skin and subcutaneous tissue,26,22,10,grey
l97818,l,Non-pressure chronic ulcer of other part of right lower leg with other specified severity,Diseases of the skin and subcutaneous tissue,39,34,29,grey
l97819,l,Non-pressure chronic ulcer of other part of right lower leg with unspecified severity,Diseases of the skin and subcutaneous tissue,211,223,214,grey
l97821,l,Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,52,39,48,grey
l97822,l,Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed,Diseases of the skin and subcutaneous tissue,29,21,12,grey
l97828,l,Non-pressure chronic ulcer of other part of left lower leg with other specified severity,Diseases of the skin and subcutaneous tissue,37,34,35,grey
l97829,l,Non-pressure chronic ulcer of other part of left lower leg with unspecified severity,Diseases of the skin and subcutaneous tissue,218,193,208,grey
l97909,l,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity,Diseases of the skin and subcutaneous tissue,112,107,93,grey
l97911,l,Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,42,41,53,grey
l97919,l,Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity,Diseases of the skin and subcutaneous tissue,502,462,470,grey
l97921,l,Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin,Diseases of the skin and subcutaneous tissue,53,42,51,grey
l97929,l,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity,Diseases of the skin and subcutaneous tissue,555,487,498,grey
m00071,m,"Staphylococcal arthritis, right ankle and foot",Diseases of the musculoskeletal system and connective tissue,23,22,22,grey
m00871,m,"Arthritis due to other bacteria, right ankle and foot",Diseases of the musculoskeletal system and connective tissue,38,25,18,grey
m06841,m,"Other specified rheumatoid arthritis, right hand",Diseases of the musculoskeletal system and connective tissue,12,15,,grey
m06842,m,"Other specified rheumatoid arthritis, left hand",Diseases of the musculoskeletal system and connective tissue,,14,,grey
m10061,m,"Idiopathic gout, right knee",Diseases of the musculoskeletal system and connective tissue,20,17,16,grey
m10062,m,"Idiopathic gout, left knee",Diseases of the musculoskeletal system and connective tissue,14,21,12,grey
m10071,m,"Idiopathic gout, right ankle and foot",Diseases of the musculoskeletal system and connective tissue,36,27,25,grey
m10072,m,"Idiopathic gout, left ankle and foot",Diseases of the musculoskeletal system and connective tissue,28,27,21,grey
m13841,m,"Other specified arthritis, right hand",Diseases of the musculoskeletal system and connective tissue,,11,,grey
m13842,m,"Other specified arthritis, left hand",Diseases of the musculoskeletal system and connective tissue,,10,,grey
m14671,m,"Charcot's joint, right ankle and foot",Diseases of the musculoskeletal system and connective tissue,25,31,25,grey
m14672,m,"Charcot's joint, left ankle and foot",Diseases of the musculoskeletal system and connective tissue,28,29,20,grey
m19031,m,"Primary osteoarthritis, right wrist",Diseases of the musculoskeletal system and connective tissue,56,37,48,grey
m19032,m,"Primary osteoarthritis, left wrist",Diseases of the musculoskeletal system and connective tissue,44,41,45,grey
m19041,m,"Primary osteoarthritis, right hand",Diseases of the musculoskeletal system and connective tissue,246,223,204,grey
m19042,m,"Primary osteoarthritis, left hand",Diseases of the musculoskeletal system and connective tissue,229,218,205,grey
m19071,m,"Primary osteoarthritis, right ankle and foot",Diseases of the musculoskeletal system and connective tissue,197,180,166,grey
m19072,m,"Primary osteoarthritis, left ankle and foot",Diseases of the musculoskeletal system and connective tissue,165,142,128,grey
m19171,m,"Post-traumatic osteoarthritis, right ankle and foot",Diseases of the musculoskeletal system and connective tissue,24,24,26,grey
m2011,m,"Hallux valgus (acquired), right foot",Diseases of the musculoskeletal system and connective tissue,32,15,14,grey
m2012,m,"Hallux valgus (acquired), left foot",Diseases of the musculoskeletal system and connective tissue,19,21,13,grey
m2041,m,"Other hammer toe(s) (acquired), right foot",Diseases of the musculoskeletal system and connective tissue,53,61,46,grey
m2042,m,"Other hammer toe(s) (acquired), left foot",Diseases of the musculoskeletal system and connective tissue,56,46,43,grey
m21161,m,"Varus deformity, not elsewhere classified, right knee",Diseases of the musculoskeletal system and connective tissue,116,71,75,grey
m21162,m,"Varus deformity, not elsewhere classified, left knee",Diseases of the musculoskeletal system and connective tissue,126,86,73,grey
m21371,m,"Foot drop, right foot",Diseases of the musculoskeletal system and connective tissue,558,530,535,grey
m21372,m,"Foot drop, left foot",Diseases of the musculoskeletal system and connective tissue,565,546,556,grey
m2141,m,"Flat foot [pes planus] (acquired), right foot",Diseases of the musculoskeletal system and connective tissue,18,17,21,grey
m2142,m,"Flat foot [pes planus] (acquired), left foot",Diseases of the musculoskeletal system and connective tissue,15,15,25,grey
m21861,m,Other specified acquired deformities of right lower leg,Diseases of the musculoskeletal system and connective tissue,,19,,grey
m21862,m,Other specified acquired deformities of left lower leg,Diseases of the musculoskeletal system and connective tissue,,11,12,grey
m21961,m,Unspecified acquired deformity of right lower leg,Diseases of the musculoskeletal system and connective tissue,20,21,20,grey
m21962,m,Unspecified acquired deformity of left lower leg,Diseases of the musculoskeletal system and connective tissue,25,26,19,grey
m24451,m,"Recurrent dislocation, right hip",Diseases of the musculoskeletal system and connective tissue,22,18,16,grey
m24452,m,"Recurrent dislocation, left hip",Diseases of the musculoskeletal system and connective tissue,17,16,19,grey
m24541,m,"Contracture, right hand",Diseases of the musculoskeletal system and connective tissue,49,33,36,grey
m24542,m,"Contracture, left hand",Diseases of the musculoskeletal system and connective tissue,44,35,40,grey
m24551,m,"Contracture, right hip",Diseases of the musculoskeletal system and connective tissue,44,21,25,grey
m24552,m,"Contracture, left hip",Diseases of the musculoskeletal system and connective tissue,43,16,19,grey
m24561,m,"Contracture, right knee",Diseases of the musculoskeletal system and connective tissue,87,84,69,grey
m24562,m,"Contracture, left knee",Diseases of the musculoskeletal system and connective tissue,107,69,65,grey
m24571,m,"Contracture, right ankle",Diseases of the musculoskeletal system and connective tissue,28,22,23,grey
m24572,m,"Contracture, left ankle",Diseases of the musculoskeletal system and connective tissue,26,26,27,grey
m24574,m,"Contracture, right foot",Diseases of the musculoskeletal system and connective tissue,,11,,grey
m24575,m,"Contracture, left foot",Diseases of the musculoskeletal system and connective tissue,12,14,,grey
m24611,m,"Ankylosis, right shoulder",Diseases of the musculoskeletal system and connective tissue,,15,,grey
m25541,m,Pain in joints of right hand,Diseases of the musculoskeletal system and connective tissue,28,19,27,grey
m25542,m,Pain in joints of left hand,Diseases of the musculoskeletal system and connective tissue,16,14,23,grey
m25561,m,Pain in right knee,Diseases of the musculoskeletal system and connective tissue,1014,871,838,grey
m25562,m,Pain in left knee,Diseases of the musculoskeletal system and connective tissue,936,781,741,grey
m2602,m,Maxillary hypoplasia,Diseases of the musculoskeletal system and connective tissue,33,28,30,grey
m2603,m,Mandibular hyperplasia,Diseases of the musculoskeletal system and connective tissue,17,10,,grey
m2604,m,Mandibular hypoplasia,Diseases of the musculoskeletal system and connective tissue,18,12,17,grey
m264,m,"Malocclusion, unspecified",Diseases of the musculoskeletal system and connective tissue,58,48,57,grey
m272,m,Inflammatory conditions of jaws,Diseases of the musculoskeletal system and connective tissue,199,170,180,grey
m3481,m,Systemic sclerosis with lung involvement,Diseases of the musculoskeletal system and connective tissue,22,18,16,grey
m3489,m,Other systemic sclerosis,Diseases of the musculoskeletal system and connective tissue,11,11,10,grey
m4316,m,"Spondylolisthesis, lumbar region",Diseases of the musculoskeletal system and connective tissue,1730,1472,1565,grey
m4317,m,"Spondylolisthesis, lumbosacral region",Diseases of the musculoskeletal system and connective tissue,384,362,387,grey
m4622,m,"Osteomyelitis of vertebra, cervical region",Diseases of the musculoskeletal system and connective tissue,83,62,87,grey
m4624,m,"Osteomyelitis of vertebra, thoracic region",Diseases of the musculoskeletal system and connective tissue,157,155,165,grey
m4625,m,"Osteomyelitis of vertebra, thoracolumbar region",Diseases of the musculoskeletal system and connective tissue,33,18,14,grey
m4626,m,"Osteomyelitis of vertebra, lumbar region",Diseases of the musculoskeletal system and connective tissue,273,280,271,grey
m4627,m,"Osteomyelitis of vertebra, lumbosacral region",Diseases of the musculoskeletal system and connective tissue,51,56,73,grey
m4628,m,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",Diseases of the musculoskeletal system and connective tissue,256,209,260,grey
m4642,m,"Discitis, unspecified, cervical region",Diseases of the musculoskeletal system and connective tissue,31,37,36,grey
m4644,m,"Discitis, unspecified, thoracic region",Diseases of the musculoskeletal system and connective tissue,98,86,91,grey
m4645,m,"Discitis, unspecified, thoracolumbar region",Diseases of the musculoskeletal system and connective tissue,13,10,11,grey
m4646,m,"Discitis, unspecified, lumbar region",Diseases of the musculoskeletal system and connective tissue,185,183,174,grey
m4647,m,"Discitis, unspecified, lumbosacral region",Diseases of the musculoskeletal system and connective tissue,21,40,40,grey
m4712,m,"Other spondylosis with myelopathy, cervical region",Diseases of the musculoskeletal system and connective tissue,512,488,489,grey
m4722,m,"Other spondylosis with radiculopathy, cervical region",Diseases of the musculoskeletal system and connective tissue,324,262,339,grey
m4724,m,"Other spondylosis with radiculopathy, thoracic region",Diseases of the musculoskeletal system and connective tissue,,11,11,grey
m4726,m,"Other spondylosis with radiculopathy, lumbar region",Diseases of the musculoskeletal system and connective tissue,787,702,713,grey
m4727,m,"Other spondylosis with radiculopathy, lumbosacral region",Diseases of the musculoskeletal system and connective tissue,145,128,164,grey
m48061,m,"Spinal stenosis, lumbar region without neurogenic claudication",Diseases of the musculoskeletal system and connective tissue,3511,3102,3124,grey
m48062,m,"Spinal stenosis, lumbar region with neurogenic claudication",Diseases of the musculoskeletal system and connective tissue,1403,1210,1283,grey
m4807,m,"Spinal stenosis, lumbosacral region",Diseases of the musculoskeletal system and connective tissue,691,631,751,grey
m5001,m,"Cervical disc disorder with myelopathy, high cervical region",Diseases of the musculoskeletal system and connective tissue,133,136,120,grey
m50021,m,Cervical disc disorder at C4-C5 level with myelopathy,Diseases of the musculoskeletal system and connective tissue,89,93,52,grey
m50022,m,Cervical disc disorder at C5-C6 level with myelopathy,Diseases of the musculoskeletal system and connective tissue,64,78,63,grey
m50023,m,Cervical disc disorder at C6-C7 level with myelopathy,Diseases of the musculoskeletal system and connective tissue,50,49,40,grey
m5011,m,"Cervical disc disorder with radiculopathy, high cervical region",Diseases of the musculoskeletal system and connective tissue,68,60,72,grey
m50121,m,Cervical disc disorder at C4-C5 level with radiculopathy,Diseases of the musculoskeletal system and connective tissue,79,61,66,grey
m50122,m,Cervical disc disorder at C5-C6 level with radiculopathy,Diseases of the musculoskeletal system and connective tissue,102,78,78,grey
m50123,m,Cervical disc disorder at C6-C7 level with radiculopathy,Diseases of the musculoskeletal system and connective tissue,91,43,46,grey
m5114,m,"Intervertebral disc disorders with radiculopathy, thoracic region",Diseases of the musculoskeletal system and connective tissue,21,17,34,grey
m5116,m,"Intervertebral disc disorders with radiculopathy, lumbar region",Diseases of the musculoskeletal system and connective tissue,1363,1114,1122,grey
m5117,m,"Intervertebral disc disorders with radiculopathy, lumbosacral region",Diseases of the musculoskeletal system and connective tissue,420,381,408,grey
m5416,m,"Radiculopathy, lumbar region",Diseases of the musculoskeletal system and connective tissue,1429,1152,1333,grey
m5431,m,"Sciatica, right side",Diseases of the musculoskeletal system and connective tissue,148,144,122,grey
m5432,m,"Sciatica, left side",Diseases of the musculoskeletal system and connective tissue,139,127,125,grey
m5441,m,"Lumbago with sciatica, right side",Diseases of the musculoskeletal system and connective tissue,108,105,101,grey
m5442,m,"Lumbago with sciatica, left side",Diseases of the musculoskeletal system and connective tissue,108,101,113,grey
m549,m,"Dorsalgia, unspecified",Diseases of the musculoskeletal system and connective tissue,9249,7934,8442,grey
m62561,m,"Muscle wasting and atrophy, not elsewhere classified, right lower leg",Diseases of the musculoskeletal system and connective tissue,21,12,14,grey
m62562,m,"Muscle wasting and atrophy, not elsewhere classified, left lower leg",Diseases of the musculoskeletal system and connective tissue,22,10,13,grey
m65811,m,"Other synovitis and tenosynovitis, right shoulder",Diseases of the musculoskeletal system and connective tissue,27,21,22,grey
m7061,m,"Trochanteric bursitis, right hip",Diseases of the musculoskeletal system and connective tissue,56,43,40,grey
m7062,m,"Trochanteric bursitis, left hip",Diseases of the musculoskeletal system and connective tissue,56,55,38,grey
m75121,m,"Complete rotator cuff tear or rupture of right shoulder, not specified as traumatic",Diseases of the musculoskeletal system and connective tissue,120,124,158,grey
m7521,m,"Bicipital tendinitis, right shoulder",Diseases of the musculoskeletal system and connective tissue,103,93,82,grey
m79604,m,Pain in right leg,Diseases of the musculoskeletal system and connective tissue,671,568,576,grey
m79605,m,Pain in left leg,Diseases of the musculoskeletal system and connective tissue,647,575,574,grey
m79641,m,Pain in right hand,Diseases of the musculoskeletal system and connective tissue,206,225,207,grey
m79642,m,Pain in left hand,Diseases of the musculoskeletal system and connective tissue,146,145,138,grey
m79661,m,Pain in right lower leg,Diseases of the musculoskeletal system and connective tissue,232,210,202,grey
m79662,m,Pain in left lower leg,Diseases of the musculoskeletal system and connective tissue,251,225,198,grey
m79671,m,Pain in right foot,Diseases of the musculoskeletal system and connective tissue,392,351,421,grey
m79672,m,Pain in left foot,Diseases of the musculoskeletal system and connective tissue,361,360,335,grey
m868x7,m,"Other osteomyelitis, ankle and foot",Diseases of the musculoskeletal system and connective tissue,824,708,686,grey
m869,m,"Osteomyelitis, unspecified",Diseases of the musculoskeletal system and connective tissue,1593,1460,1371,grey
m87051,m,Idiopathic aseptic necrosis of right femur,Diseases of the musculoskeletal system and connective tissue,46,41,44,grey
m87052,m,Idiopathic aseptic necrosis of left femur,Diseases of the musculoskeletal system and connective tissue,51,34,35,grey
m87851,m,"Other osteonecrosis, right femur",Diseases of the musculoskeletal system and connective tissue,145,89,71,grey
m87852,m,"Other osteonecrosis, left femur",Diseases of the musculoskeletal system and connective tissue,106,75,61,grey
m9711xd,m,"Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter",Diseases of the musculoskeletal system and connective tissue,15,16,22,grey
m9712xd,m,"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter",Diseases of the musculoskeletal system and connective tissue,18,15,12,grey
n138,n,Other obstructive and reflux uropathy,Diseases of the genitourinary system,1423,1292,1284,grey
n141,n,"Nephropathy induced by other drugs, medicaments and biological substances",Diseases of the genitourinary system,559,575,514,grey
n170,n,Acute kidney failure with tubular necrosis,Diseases of the genitourinary system,5805,6311,7267,grey
n179,n,"Acute kidney failure, unspecified",Diseases of the genitourinary system,43250,42852,47086,grey
n186,n,End stage renal disease,Diseases of the genitourinary system,11130,11113,11507,grey
n189,n,"Chronic kidney disease, unspecified",Diseases of the genitourinary system,10439,10121,10108,grey
n29,n,Other disorders of kidney and ureter in diseases classified elsewhere,Diseases of the genitourinary system,47,37,36,grey
n319,n,"Neuromuscular dysfunction of bladder, unspecified",Diseases of the genitourinary system,2548,2200,2183,grey
n390,n,"Urinary tract infection, site not specified",Diseases of the genitourinary system,22536,20716,22154,grey
n401,n,Benign prostatic hyperplasia with lower urinary tract symptoms,Diseases of the genitourinary system,5280,4814,4611,grey
n4821,n,Abscess of corpus cavernosum and penis,Diseases of the genitourinary system,,15,13,grey
n4822,n,Cellulitis of corpus cavernosum and penis,Diseases of the genitourinary system,30,23,25,grey
n485,n,Ulcer of penis,Diseases of the genitourinary system,39,33,37,grey
n750,n,Cyst of Bartholin's gland,Diseases of the genitourinary system,24,32,28,grey
n751,n,Abscess of Bartholin's gland,Diseases of the genitourinary system,11,12,11,grey
n762,n,Acute vulvitis,Diseases of the genitourinary system,68,88,74,grey
n764,n,Abscess of vulva,Diseases of the genitourinary system,123,94,119,grey
